,episodes,baseline,ddqn,ppo
318,318,-0.39999999999999997,-3.366170287710836,1.4878058479262748
319,319,-0.39999999999999997,-3.2183868917496015,1.4976926571171563
320,320,-0.39999999999999997,-3.218192333180619,1.4749377695319237
321,321,-0.39999999999999997,-3.403517055624971,1.4591450644917305
322,322,-0.39999999999999997,-3.408398048220862,1.4776549535702386
323,323,-0.39999999999999997,-3.4587918610298267,1.479420402286423
324,324,-0.39999999999999997,-3.523141928085764,1.4363369106554882
325,325,-0.39999999999999997,-3.5572519441011288,1.4550966075782028
326,326,-0.39999999999999997,-3.596528550047073,1.4189305918916226
327,327,-0.39999999999999997,-3.6047003514454325,1.414339269398405
328,328,-0.39999999999999997,-3.6201305654400637,1.4261133685195155
329,329,-0.39999999999999997,-3.6962196941578873,1.4448303630187778
330,330,-0.39999999999999997,-3.655196501487847,1.4532266983043616
331,331,-0.39999999999999997,-3.6196726473772247,1.4467874635264817
332,332,-0.39999999999999997,-3.543076363920327,1.4467874995986323
333,333,-0.39999999999999997,-3.6149688235595288,1.4486146965631232
334,334,-0.39999999999999997,-3.538730622942198,1.4188069422190153
335,335,-0.39999999999999997,-3.4453314403792294,1.4619190472391628
336,336,-0.39999999999999997,-3.4805623917815427,1.4370953350899458
337,337,-0.39999999999999997,-3.5373104688675796,1.4370953350899456
338,338,-0.39999999999999997,-3.567193673052827,1.5098235785825203
339,339,-0.39999999999999997,-3.5629045143595506,1.532255384354828
340,340,-0.39999999999999997,-3.4606943598186866,1.5727468789402244
341,341,-0.39999999999999997,-3.3619247645206856,1.5709245177516584
342,342,-0.39999999999999997,-3.3662531796405797,1.5675632528512038
343,343,-0.39999999999999997,-3.3150839283335647,1.585869308647089
344,344,-0.39999999999999997,-3.3281762327756086,1.55747581412536
345,345,-0.39999999999999997,-3.3495207044581923,1.5246522775066413
346,346,-0.39999999999999997,-3.3006698742715366,1.530429934146487
347,347,-0.39999999999999997,-3.2095107392554785,1.530429934146487
348,348,-0.39999999999999997,-3.1274937710157347,1.529949749133892
349,349,-0.39999999999999997,-3.161358255104893,1.566236278904528
350,350,-0.39999999999999997,-3.2255602674660064,1.5716146160962623
351,351,-0.39999999999999997,-3.1938048984844096,1.5411037000231966
352,352,-0.39999999999999997,-3.168393538572193,1.5571095468761478
353,353,-0.39999999999999997,-3.1084130938092356,1.565901984522375
354,354,-0.39999999999999997,-3.1114329658591613,1.6147116843920748
355,355,-0.39999999999999997,-3.104415656209228,1.6373624343306574
356,356,-0.39999999999999997,-3.000690869901624,1.627578512899775
357,357,-0.39999999999999997,-2.984956098755317,1.6230983278871796
358,358,-0.39999999999999997,-2.82635138741377,1.6230983278871796
359,359,-0.39999999999999997,-2.8484760765053903,1.6518579989457398
360,360,-0.39999999999999997,-2.7389856414034,1.672363131921208
361,361,-0.39999999999999997,-2.741334661384956,1.6839509754549522
362,362,-0.39999999999999997,-2.734795464753402,1.7268703826474556
363,363,-0.39999999999999997,-2.7023076097692034,1.7259030739403018
364,364,-0.39999999999999997,-2.821512347543156,1.723336471713704
365,365,-0.39999999999999997,-2.787816045185468,1.7559773749430518
366,366,-0.39999999999999997,-2.8259533896378066,1.7464352666841234
367,367,-0.39999999999999997,-2.7868889403557846,1.7709469717636903
368,368,-0.39999999999999997,-2.832668698471728,1.78514817488299
369,369,-0.39999999999999997,-2.8488135854906376,1.7914908406552583
370,370,-0.39999999999999997,-2.8372435207655915,1.7723337737066212
371,371,-0.39999999999999997,-2.7122975590053913,1.7540462559805305
372,372,-0.39999999999999997,-2.6898254196980247,1.7884885946671307
373,373,-0.39999999999999997,-2.497290522304724,1.8121318113789948
374,374,-0.39999999999999997,-2.4671937144661973,1.8220238797572812
375,375,-0.39999999999999997,-2.5792196379028316,1.8418072176225417
376,376,-0.39999999999999997,-2.5973972778925347,1.8802634707668715
377,377,-0.39999999999999997,-2.6286947247272208,1.9349010734760423
378,378,-0.39999999999999997,-2.641976128503349,1.9324653506948857
379,379,-0.39999999999999997,-2.64588271369734,1.9033865953251956
380,380,-0.39999999999999997,-2.6818943332873584,1.9320385518820224
381,381,-0.39999999999999997,-2.7099513374074946,1.9267911412331673
382,382,-0.39999999999999997,-2.6731337756789664,1.9697793530065277
383,383,-0.39999999999999997,-2.6864412186647115,1.9487935624693642
384,384,-0.39999999999999997,-2.6960865942986096,1.907928636682437
385,385,-0.39999999999999997,-2.82550050296162,1.9079612426510904
386,386,-0.39999999999999997,-2.8208830884445057,1.9062053608149747
387,387,-0.39999999999999997,-2.8443488594612694,1.9346539499629138
388,388,-0.39999999999999997,-2.867334777133862,1.9485533712274588
389,389,-0.39999999999999997,-2.8147978804125398,1.920142807417937
390,390,-0.39999999999999997,-2.855896014619081,1.9323372912586239
391,391,-0.39999999999999997,-2.737204395122435,1.9609690959928248
392,392,-0.39999999999999997,-2.733204395122434,2.0096577669300033
393,393,-0.39999999999999997,-2.7703661268451465,2.0342267117287722
394,394,-0.39999999999999997,-2.8100029516706373,2.0365211923186255
395,395,-0.39999999999999997,-2.7609787089288953,2.0610067226646036
396,396,-0.39999999999999997,-2.7000000751147843,2.056629638240323
397,397,-0.39999999999999997,-2.6866291718138937,2.0852418430668562
398,398,-0.39999999999999997,-2.640801086988509,2.095739573673047
399,399,-0.39999999999999997,-2.7604206796509665,2.085401852421391
400,400,-0.39999999999999997,-2.712727210613344,2.05443587681243
401,401,-0.39999999999999997,-2.795991205702427,2.0178202647667765
402,402,-0.39999999999999997,-2.8163055771213523,2.0337748495241375
403,403,-0.39999999999999997,-2.8204018920171285,1.9826203711123946
404,404,-0.39999999999999997,-2.896295524695006,1.968524032205692
405,405,-0.39999999999999997,-2.88953149675812,1.9838919117074345
406,406,-0.39999999999999997,-3.0588068314414754,1.9711094178077893
407,407,-0.39999999999999997,-3.084884412536833,1.9484953173332844
408,408,-0.39999999999999997,-3.1698697612240796,1.9425723637541839
409,409,-0.39999999999999997,-3.5811044405290238,1.983773130014269
410,410,-0.39999999999999997,-3.7672623837772075,1.9549477329264269
411,411,-0.39999999999999997,-3.807466716472939,1.9288643783166501
412,412,-0.39999999999999997,-3.807466716472939,1.924439217676631
413,413,-0.39999999999999997,-3.836329263975246,1.9156998690714826
414,414,-0.39999999999999997,-3.9212804642642918,1.9476934881655519
415,415,-0.39999999999999997,-3.8970691892270115,1.986393141314207
416,416,-0.39999999999999997,-3.9006800353391253,1.9741247673449862
417,417,-0.39999999999999997,-4.005140767662829,1.9558875594906875
418,418,-0.39999999999999997,-4.101014750965216,1.9884361332722933
419,419,-0.39999999999999997,-4.234128740831815,1.9637054924075883
420,420,-0.39999999999999997,-4.237759871069063,2.0144073229949924
421,421,-0.39999999999999997,-4.094104744651512,2.0082030803572937
422,422,-0.39999999999999997,-4.317927559833421,1.9710737441073067
423,423,-0.39999999999999997,-4.267773377053276,1.9916312498188211
424,424,-0.39999999999999997,-4.4006103505423315,1.9916312498188207
425,425,-0.39999999999999997,-4.744301479920707,1.9728715528961058
426,426,-0.39999999999999997,-4.906014311063061,1.997214252687918
427,427,-0.39999999999999997,-5.239838828025844,2.0185963525982977
